model,r2,mae,rmse,mape
Random Forest Tuned,0.07491506196861193,48.43634495654263,67.53511785298085,8300910.684665827
Lasso,0.06352863747069427,49.37855934923921,68.20776179667517,8463534.820317922
XGBoost,0.04538475722074509,48.52980041503906,68.21177815954881,8195405.0
Ridge,0.06463094831332199,49.35183061879193,68.24697884117082,8438290.73709757
Linear Regression,0.06460180488506284,49.352504779898446,68.24847389354721,8438164.374153506
ElasticNet,0.05960364508266487,49.44663307367554,68.3200295997989,8480066.078829452
MLP Regressor,0.04411839364591354,49.87717222548021,68.60905360311614,8228420.708081967
XGBoost Tuned,0.017876379191875458,48.644775390625,68.82748829160664,8206709.5
Gradient Boosting,0.010672291967705472,49.07644668335389,69.72961172918666,8248116.4245437365
KNN,-0.005200614763263681,49.36033029297954,70.14274832821155,8368442.753854061
SVR,-0.033160597220075805,46.44723279838375,71.51763804205459,2879095.64909531
Random Forest,-0.22710939425843973,51.304228073198225,77.57110996889476,7806333.173300061
Extra Trees,-0.3634163689334685,51.257604405855346,81.35236885273635,7747402.030194099
Decision Tree,-0.5938698010203647,54.832276119402984,87.91184793605346,7693221.810631731
